ostrinia_nubilalis	drosophila_melanogaster	NCBI GeneID	Symbol	Description
XP_063826241.1	NP_536733.1	36288	128up	upstream of RpIII128
XP_063826243.1	NP_723893.1	34873	DCTN5-p25	Dynactin 5, p25 subunit
XP_063826245.1	NP_536346.1	47764	Amy-p	Amylase proximal
XP_063826247.1	NP_609995.1	35258	CG10366	uncharacterized protein
XP_063826249.1	NP_610218.1	35563	geminin	geminin
XP_063826250.1	NP_609646.1	34751	loqs	loquacious
XP_063826256.1	NP_726252.1	246521	CG30274	uncharacterized protein
XP_063826263.1	NP_725602.1	246627	Pgant9	Polypeptide N-Acetylgalactosaminyltransferase 9
XP_063826275.1	NP_611457.1	37282	CG11099	uncharacterized protein
XP_063826276.1	NP_611720.3	37621	CG42284	uncharacterized protein
XP_063826278.1	NP_788426.1	37583	CG33143	uncharacterized protein
XP_063826280.1	NP_608944.1	33791	CG7251	uncharacterized protein
XP_063826281.1	NP_001097339.1	5740661	CG34457	uncharacterized protein
XP_063826282.1	NP_788468.1	45018	Lcp65Ae	Lcp65Ae
XP_063826285.1	NP_572951.1	32378	Fbxl4	F box and leucine-rich-repeat gene 4
XP_063826286.1	NP_608740.2	33515	CG17219	uncharacterized protein
XP_063826292.1	NP_731186.2	40925	sgll	sugarlethal
XP_063826293.1	NP_649831.1	41048	CG13318	uncharacterized protein
XP_063826294.1	NP_788485.1	47283	SrpRbeta	Signal recognition particle receptor beta
XP_063826295.1	NP_572866.1	32274	REG	Proteasome regulator gamma
XP_063826298.1	NP_523977.2	38995	hry	hairy
XP_063826299.1	NP_572857.1	32263	MFS10	Major Facilitator Superfamily Transporter 10
XP_063826309.1	NP_648639.1	39501	CG10171	uncharacterized protein
XP_063826311.1	NP_609404.2	34432	holn1	hole-in-one
XP_063826313.1	NP_524458.1	42735	CenB1A	Centaurin beta 1A
XP_063826315.1	NP_569906.1	31083	CG11417	uncharacterized protein
XP_063826316.1	NP_524365.1	41862	SerRS-m	Seryl-tRNA synthetase, mitochondrial
XP_063826317.1	NP_477240.1	33269	dbe	dribble
XP_063826322.1	NP_652562.2	50438	CG18661	uncharacterized protein
XP_063826323.1	NP_573296.2	32831	Hayan	hayan
XP_063826324.1	NP_511160.2	32457	gce	germ cell-expressed bHLH-PAS
XP_063826325.1	NP_523933.3	38610	lama	lamina ancestor
XP_063826326.1	NP_647947.1	38599	CHMP2B	Charged multivesicular body protein 2b
XP_063826335.1	NP_650375.1	41768	CG7987	uncharacterized protein
XP_063826336.1	NP_609503.2	34571	Cog8	Component of oligomeric golgi complex 8
XP_063826337.1	NP_524274.1	40972	RPA1	Replication protein A1
XP_063826338.1	NP_001096854.1	5740847	CG17636	uncharacterized protein
XP_063826339.1	NP_609040.1	33911	CG9547	uncharacterized protein
XP_063826340.1	NP_610976.1	36626	CG10139	uncharacterized protein
XP_063826343.1	NP_610851.2	36463	fsd	fates-shifted
XP_063826344.1	NP_611709.1	37607	Obp58b	Odorant-binding protein 58b
XP_063826349.1	NP_609402.1	34429	Bug22	Basal body up regulated gene 22
XP_063826350.1	NP_476938.1	34149	RpS13	Ribosomal protein S13
XP_063826351.1	NP_001033842.2	32342	amrt	amaretto
XP_063826352.1	NP_524695.2	44108	Optix	optix
XP_063826353.1	NP_651659.2	43427	Slu7	Slu7
XP_063826358.1	NP_733236.1	318572	nenya	nenya
XP_063826362.1	NP_650926.1	42475	Ktl	Kctd12-like
XP_063826363.1	NP_651184.1	42811	CG10214	uncharacterized protein
XP_063826366.1	NP_650945.1	42506	Obp93a	Odorant-binding protein 93a
XP_063826367.1	NP_649840.1	41059	IscU	Iron-sulfur cluster assembly enzyme
XP_063826368.1	NP_477411.1	33981	Sumo	Small ubiquitin like modifier
XP_063826373.1	NP_650922.1	42470	RpS30	Ribosomal protein S30
XP_063826382.1	NP_523898.1	44098	rasp	rasp
XP_063826385.1	NP_651358.4	43037	CG11854	uncharacterized protein
XP_063826389.1	NP_610092.2	35383	Coq3	Coenzyme Q3
XP_063826390.1	NP_611740.1	37647	CG9849	uncharacterized protein
XP_063826393.1	NP_610997.1	36656	HPS1	Hermansky-Pudlak Syndrome 1
XP_063826395.1	NP_608521.1	33213	CG13690	uncharacterized protein
XP_063826403.1	NP_648127.1	38838	CG8541	uncharacterized protein
XP_063826411.1	NP_524378.1	47384	sra	sarah
XP_063826412.1	NP_650694.2	42183	Non3	Novel nucleolar protein 3
XP_063826420.1	NP_477501.1	34968	fzy	fizzy
XP_063826422.1	NP_610275.2	35663	CG11145	uncharacterized protein
XP_063826424.1	NP_612011.1	38033	thoc7	thoc7
XP_063826426.1	NP_569873.1	31044	mus81	mus81
XP_063826433.1	NP_611236.2	36996	RhoGAP54D	Rho GTPase activating protein at 54D
XP_063826434.1	NP_611559.1	37413	LSm1	Like Sm 1
XP_063826435.1	NP_650544.1	41994	CG14882	uncharacterized protein
XP_063826436.1	NP_001027417.1	3772655	CG33155	uncharacterized protein
XP_063826438.1	NP_652380.2	50224	CG13018	uncharacterized protein
XP_063826440.1	NP_649318.1	40377	CG7519	uncharacterized protein
XP_063826441.1	NP_572160.1	31374	NO66	Nucleolar protein 66
XP_063826442.1	NP_725343.1	3772367	mRpL53	mitochondrial ribosomal protein L53
XP_063826443.1	NP_730506.1	40226	CG17122	uncharacterized protein
XP_063826444.1	NP_649355.1	40418	CG14568	uncharacterized protein
XP_063826450.1	NP_648333.1	39114	CG3222	uncharacterized protein
XP_063826454.1	NP_651007.1	42597	CG13408	uncharacterized protein
XP_063826455.1	NP_649833.1	41052	Ir85a	Ionotropic receptor 85a
XP_063826456.1	NP_650492.2	41911	nsl1	non-specific lethal 1
XP_063826457.1	NP_610754.1	36330	CG42700	uncharacterized protein
XP_063826460.1	NP_523844.2	37892	mAChR-A	muscarinic Acetylcholine Receptor, A-type
XP_063826461.1	NP_649200.2	40225	gogo	golden goal
XP_063826468.1	NP_610983.1	36634	jef	jet fuel
XP_063826469.1	NP_649554.1	40676	CG2926	uncharacterized protein
XP_063826470.1	NP_573181.1	32684	CG13001	uncharacterized protein
XP_063826471.1	NP_572819.4	32217	Tomosyn	tomosyn
XP_063826473.1	NP_609013.1	33882	Pez	Pez
XP_063826474.1	NP_788082.1	49816	CycK	Cyclin K
XP_063826475.1	NP_608770.4	33552	GramD1B	GRAM domain containing 1B
XP_063826476.1	NP_609067.2	249072	Liprin-alpha	Liprin-alpha
XP_063826478.1	NP_611296.2	37073	adp	adipose
XP_063826481.1	NP_001015349.2	3355064	Haspin	haspin
XP_063826484.1	NP_523401.2	32821	Tsf1	Transferrin 1
XP_063826486.1	NP_610043.1	35324	CG2611	uncharacterized protein
XP_063826487.1	NP_612069.1	38104	CG13907	uncharacterized protein
XP_063826490.1	NP_524813.2	45318	kn	knot
XP_063826495.1	NP_524844.6	45840	cpo	couch potato
XP_063826499.1	NP_511114.2	32039	sev	sevenless
XP_063826500.1	NP_651329.4	43002	stac	staccato
XP_063826504.1	NP_524395.2	42162	sr	stripe
XP_063826505.1	NP_651525.1	43251	CG6277	uncharacterized protein
XP_063826508.1	NP_611064.2	36747	bdg	bedraggled
XP_063826511.1	NP_788448.1	38149	Ctr9	Ctr9
XP_063826515.1	NP_651714.1	43498	CG15506	uncharacterized protein
XP_063826518.1	NP_610900.1	36524	S-Lap7	Sperm-Leucylaminopeptidase 7
XP_063826520.1	NP_652063.1	48387	Ttc7	Tetratricopeptide repeat domain 7
XP_063826522.1	NP_612084.1	38133	galene	galene
XP_063826524.1	NP_648107.3	38813	Cln7	Cln7
XP_063826526.1	NP_648976.2	39940	Sec3	Secretory 3
XP_063826530.1	NP_652013.1	45268	cathD	cathepsin D
XP_063826534.1	NP_788911.2	32526	CG33172	uncharacterized protein
XP_063826535.1	NP_573230.1	32742	CG5800	uncharacterized protein
XP_063826536.1	NP_511089.2	31789	otu	ovarian tumor
XP_063826537.1	NP_649905.1	41149	BckdhA	Branched chain keto acid dehydrogenase E1 subunit alpha
XP_063826538.1	NP_524777.1	44701	Coprox	Coproporphyrinogen oxidase
XP_063826540.1	NP_523735.2	36546	CtsL1	Cathepsin L1
XP_063826546.1	NP_477379.1	34419	Ip259	Intronic Protein 259
XP_063826549.1	NP_525065.1	31359	cib	ciboulot
XP_063826553.1	NP_650398.3	41797	CG3631	uncharacterized protein
XP_063826554.1	NP_476778.1	34420	RpS27A	Ribosomal protein S27A
XP_063826556.1	NP_572775.1	32165	regucalcin	regucalcin
XP_063826557.1	NP_648945.1	39904	CG7728	uncharacterized protein
XP_063826558.1	NP_611383.1	37178	CG15084	uncharacterized protein
XP_063826559.1	NP_572405.2	31684	Rab39	Rab39
XP_063826561.1	NP_610986.1	36641	Trs31	TRAPP subunit 31
XP_063826563.1	NP_572870.2	2768909	Remo	Remoulade
XP_063826565.1	NP_610121.2	35426	CG1416	uncharacterized protein
XP_063826567.1	NP_650781.2	42292	CG6040	uncharacterized protein
XP_063826572.1	NP_651655.1	43423	CG1951	uncharacterized protein
XP_063826577.1	NP_573046.1	32495	CG8097	uncharacterized protein
XP_063826578.1	NP_649069.2	40059	CG3902	uncharacterized protein
XP_063826580.1	NP_608426.1	33083	bves	bves
XP_063826582.1	NP_573044.1	32493	CG7872	uncharacterized protein
XP_063826583.1	NP_649086.2	40080	Sfxn2	Sideroflexin 2
XP_063826588.1	NP_650214.1	41551	Snx3	Sorting nexin 3
XP_063826590.1	NP_001036690.1	4379851	CG34117	uncharacterized protein
XP_063826591.1	NP_611427.1	37247	hpo	hippo
XP_063826592.1	NP_524154.2	40083	MESR6	Misexpression suppressor of ras 6
XP_063826593.1	NP_648542.1	39368	rols	rolling pebbles
XP_063826594.1	NP_611260.1	44870	sub	subito
XP_063826595.1	NP_731964.2	41817	CG42788	uncharacterized protein
XP_063826596.1	NP_648352.2	39141	defl	deflated
XP_063826597.1	NP_477177.1	35922	Vang	Van Gogh
XP_063826598.1	NP_572760.1	32146	CG15739	uncharacterized protein
XP_063826600.1	NP_651614.1	43369	UQCR-14L	Ubiquinol-cytochrome c reductase 14 kDa subunit-like
XP_063826602.1	NP_650491.1	41910	Acyp2	Acylphosphatase 2
XP_063826603.1	NP_611922.1	37912	Letm1	Leucine zipper and EF-hand containing transmembrane protein 1
XP_063826605.1	NP_476977.1	34284	Pka-C1	Protein kinase, cAMP-dependent, catalytic subunit 1
XP_063826606.1	NP_611986.2	37992	CG2790	uncharacterized protein
XP_063826607.1	NP_728868.1	38413	Gtpx	Glutathione peroxidase homolog with thioredoxin peroxidase activity
XP_063826608.1	NP_611608.1	37482	LBR	Lamin B receptor
XP_063826612.1	NP_610940.1	36577	CG8468	uncharacterized protein
XP_063826615.1	NP_001097457.1	5740130	CG34454	uncharacterized protein
XP_063826621.1	NP_788611.1	41143	Kdm3	Lysine demethylase 3
XP_063826622.1	NP_524495.1	43010	fd96Ca	forkhead domain 96Ca
XP_063826623.1	NP_612061.2	38095	CG13901	uncharacterized protein
XP_063826626.1	NP_651884.1	43735	CG11563	uncharacterized protein
XP_063826628.1	NP_523628.1	35587	Cyp6a2	Cytochrome P450 6a2
XP_063826629.1	NP_611947.2	37938	Adck1	aarF domain containing kinase 1
XP_063826631.1	NP_610188.2	35519	CG43366	uncharacterized protein
XP_063826632.1	NP_649378.1	40448	CG7139	uncharacterized protein
XP_063826633.1	NP_726444.2	246493	prom	prominin
XP_063826634.1	NP_608863.2	33683	Ir25a	Ionotropic receptor 25a
XP_063826636.1	NP_649914.1	41159	Son	Son RNA binding protein
XP_063826641.1	NP_611831.2	37766	CG5539	uncharacterized protein
XP_063826642.1	NP_572440.1	31731	CG1575	uncharacterized protein
XP_063826647.1	NP_476709.1	41958	Sb	Stubble
XP_063826650.1	NP_611917.2	37905	CG13579	uncharacterized protein
XP_063826652.1	NP_536735.2	39157	Cdk8	Cyclin-dependent kinase 8
XP_063826656.1	NP_611793.3	37709	CG9812	uncharacterized protein
XP_063826658.1	NP_609494.1	34550	RfC38	Replication factor C 38kD subunit
XP_063826666.1	NP_610696.1	36253	CG13197	uncharacterized protein
XP_063826670.1	NP_572939.1	32361	CG1368	uncharacterized protein
XP_063826671.1	NP_726662.1	318225	CG32816	uncharacterized protein
XP_063826672.1	NP_608861.2	33681	CG15628	uncharacterized protein
XP_063826677.1	NP_610701.2	36258	ths	thisbe
XP_063826680.1	NP_570016.1	31252	dyw	daywake
XP_063826684.1	NP_572699.2	32063	CG44422	uncharacterized protein
XP_063826689.1	NP_650047.3	41340	SdhC	Succinate dehydrogenase, subunit C
XP_063826690.1	NP_523774.1	36985	RpL18A	Ribosomal protein L18A
XP_063826693.1	NP_523514.1	34181	Dh31	Diuretic hormone 31
XP_063826697.1	NP_652187.1	50005	CG8369	uncharacterized protein
XP_063826698.1	NP_523778.2	36993	Dcr-2	Dicer-2
XP_063826699.1	NP_572516.1	31829	CG15365	uncharacterized protein
XP_063826700.1	NP_523448.2	33251	Gr21a	Gustatory receptor 21a
XP_063826706.1	NP_001259608.1	32599	CG9921	uncharacterized protein
XP_063826707.1	NP_647780.1	38385	Girdin	girdin
XP_063826708.1	NP_648832.1	39757	Tasp1	Taspase 1
XP_063826709.1	NP_650458.1	41875	CG14868	uncharacterized protein
XP_063826710.1	NP_649841.1	41060	CG8379	uncharacterized protein
XP_063826711.1	NP_001015254.1	3354996	CG17168	uncharacterized protein
XP_063826716.1	NP_524848.1	45875	Hex-A	Hexokinase A
XP_063826720.1	NP_523777.1	36992	Rab4	Rab4
XP_063826721.1	NP_477224.1	41022	Dhod	Dihydroorotate dehydrogenase
XP_063826723.1	NP_001027422.1	3772305	CG10731	uncharacterized protein
XP_063826725.1	NP_573289.2	32822	Nt5b	5' nucleotidase B
XP_063826729.1	NP_651408.1	43092	Ssadh	Succinic semialdehyde dehydrogenase
XP_063826731.1	NP_648828.3	39752	CG5895	uncharacterized protein
XP_063826733.1	NP_730096.2	39751	Notum	notum
XP_063826737.1	NP_650925.1	42473	KaiR1D	Kainate-type ionotropic glutamate receptor subunit 1D
XP_063826746.1	NP_650797.1	42312	CG14280	uncharacterized protein
XP_063826748.1	NP_996132.1	2768965	AsnS	Asparagine synthetase
XP_063826750.1	NP_001163314.1	8674073	CG42554	uncharacterized protein
XP_063826755.1	NP_523565.2	34842	spel1	spellchecker1
XP_063826762.1	NP_524101.2	39753	Diap1	Death-associated inhibitor of apoptosis 1
XP_063826765.1	NP_608862.1	33682	Fnta	Farnesyl transferase alpha subunit
XP_063826766.1	NP_569979.1	31177	CG4025	uncharacterized protein
XP_063826768.1	NP_524357.2	41483	Su(var)3-9	Suppressor of variegation 3-9
XP_063826769.1	NP_608586.2	33308	CG5001	uncharacterized protein
XP_063826771.1	NP_651665.2	43434	Cul5	Cullin 5
XP_063826772.1	NP_651271.1	42930	REPTOR	Repressed by TOR
XP_063826773.1	NP_649811.1	41026	CG8032	uncharacterized protein
XP_063826774.1	NP_650083.1	41384	CG10898	uncharacterized protein
XP_063826775.1	NP_524358.2	41845	ATPsynO	ATP synthase, oligomycin sensitivity conferring protein
XP_063826776.1	NP_610418.1	35882	CCT8	Chaperonin containing TCP1 subunit 8
XP_063826778.1	NP_572549.2	31873	CG17754	uncharacterized protein
XP_063826780.1	NP_610721.2	36290	Drep1	DNA fragmentation factor-related protein 1
XP_063826782.1	NP_650067.1	41365	mgr	merry-go-round
XP_063826783.1	NP_523662.1	35881	Ggamma1	G protein gamma subunit 1
XP_063826784.1	NP_610724.1	36293	CG8888	uncharacterized protein
XP_063826787.1	NP_649690.1	40843	Ufl1	UFM1 specific ligase 1
XP_063826788.1	NP_650678.1	42165	CG7218	uncharacterized protein
XP_063826789.1	NP_650528.1	41967	CG6126	uncharacterized protein
XP_063826790.1	NP_652025.2	45883	kar	karmoisin
XP_063826791.1	NP_650527.2	41964	CG8927	uncharacterized protein
XP_063826792.1	NP_524377.1	41965	Bin1	Bicoid interacting protein 1
XP_063826793.1	NP_650525.1	41962	CG6006	uncharacterized protein
XP_063826795.1	NP_610715.1	36277	PI31	Proteasome inhibitor 31 kDa
XP_063826796.1	NP_611451.1	37275	CG8654	uncharacterized protein
XP_063826800.1	NP_731385.1	41168	Scm	Sex comb on midleg
XP_063826801.1	NP_610426.2	35892	AIMP1	aaRS-interacting multifunctional protein 1
XP_063826803.1	NP_523437.2	33139	S6kII	Ribosomal protein S6 kinase II
XP_063826808.1	NP_611175.1	36908	ste24a	prenyl protease type I
XP_063826809.1	NP_524757.1	44497	Tollo	tollo
XP_063826810.1	NP_649194.1	40217	Su(var)3-3	Suppressor of variegation 3-3
XP_063826811.1	NP_650983.1	42560	Burs	Bursicon
XP_063826812.1	NP_524081.1	39663	Toll-6	Toll-6
XP_063826818.1	NP_725637.1	36914	Dark	Death-associated APAF1-related killer
XP_063826819.1	NP_572414.1	31695	Acat1	Acetyl-CoA acetyltransferase 1
XP_063826822.1	NP_788548.1	40246	in	inturned
XP_063826824.1	NP_523620.1	35486	sxc	super sex combs
XP_063826827.1	NP_524100.1	39749	mRpS31	mitochondrial ribosomal protein S31
XP_063826828.1	NP_650514.1	41939	CG4287	uncharacterized protein
XP_063826838.1	NP_610797.1	36379	Ak6	Adenylate kinase 6
XP_063826839.1	NP_523797.1	37272	Toll-7	Toll-7
XP_063826841.1	NP_648349.1	39137	vsg	visgun
XP_063826842.1	NP_649375.1	40443	P5CS	Delta[1]-pyrroline-5-carboxylate synthase
XP_063826846.1	NP_572391.1	31667	Dok	Downstream of kinase
XP_063826847.1	NP_649519.1	40626	Mms19	Mms19
XP_063826848.1	NP_523374.2	32627	SMC3	Structural maintenance of chromosomes 3
XP_063826849.1	NP_610093.1	35384	Pld3	Phospholipase D family member 3
XP_063826851.1	NP_524419.2	42452	Oct-TyrR	Octopamine-Tyramine receptor
XP_063826853.1	NP_650955.1	42517	Smyd5	SET and MYND domain containing, class 5
XP_063826857.1	NP_609446.1	34481	Nup107	Nucleoporin 107kD
XP_063826858.1	NP_650954.1	42516	Ddrgk1	DDRGK domain containing 1
XP_063826859.1	NP_788616.1	41177	eca	eclair
XP_063826860.1	NP_651673.1	43443	Alg13	Alg13 UDP-N-acetylglucosaminyltransferase subunit
XP_063826861.1	NP_610705.1	36262	S2P	site-2 protease
XP_063826862.1	NP_001097276.1	5740848	CG34229	uncharacterized protein
XP_063826863.1	NP_610703.3	36260	Sobp	Sine oculis-binding protein
XP_063826864.1	NP_610702.1	36259	CG13192	uncharacterized protein
XP_063826865.1	NP_001286840.1	19835548	PIG-Z	Phosphatidylinositol glycan anchor biosynthesis class Z
XP_063826866.1	NP_524368.5	41889	Rh6	Rhodopsin 6
XP_063826870.1	NP_609889.1	35113	Atac2	Ada2a-containing complex component 2
XP_063826872.1	NP_572778.1	32168	Tango4	Transport and Golgi organization 4
XP_063826874.1	NP_611425.1	37244	Tbcb	Tubulin-binding cofactor B
XP_063826876.1	NP_649202.1	40228	FRG1	FSHD region gene 1
XP_063826877.1	NP_649204.2	40231	SCCRO4	Squamous cell carcinoma-related oncogene 4
XP_063826878.1	NP_724630.3	35753	CG2906	uncharacterized protein
XP_063826884.1	NP_476735.1	39251	Sod1	Superoxide dismutase 1
XP_063826885.1	NP_730974.1	318794	CG31548	uncharacterized protein
XP_063826890.1	NP_611855.1	37809	CG3803	uncharacterized protein
XP_063826891.1	NP_001027157.2	8674049	Pif1A	PFTAIRE-interacting factor 1A
XP_063826897.1	NP_611557.2	37411	Isha	Insulator su(Hw) mRNA adaptor
XP_063826903.1	NP_610930.1	36563	CysRS-m	Cysteinyl-tRNA synthetase, mitochondrial
XP_063826904.1	NP_610929.2	36562	CG13016	uncharacterized protein
XP_063826905.1	NP_650545.2	41995	Pak3	Pak3
XP_063826906.1	NP_725407.1	36632	mspo	M-spondin
XP_063826915.1	NP_726438.1	37890	bs	blistered
XP_063826916.1	NP_573119.1	32598	CG9919	uncharacterized protein
XP_063826919.1	NP_572776.1	32166	Chrac-16	Chromatin accessibility complex 16kD protein
XP_063826920.1	NP_649534.1	40647	CG1172	uncharacterized protein
XP_063826921.1	NP_572916.1	32334	CG11134	uncharacterized protein
XP_063826925.1	NP_649070.1	40060	RpL26	Ribosomal protein L26
XP_063826929.1	NP_650924.3	42471	Ir93a	Ionotropic receptor 93a
XP_063826930.1	NP_725536.1	3772101	sotv	sister of tout-velu
XP_063826932.1	NP_650538.1	41986	js	jiangshi
XP_063826933.1	NP_609414.3	34443	CG6144	uncharacterized protein
XP_063826934.1	NP_523710.1	36329	Cam	Calmodulin
XP_063826936.1	NP_649374.1	40441	CG7458	uncharacterized protein
XP_063826945.1	NP_611865.1	37825	CG3860	uncharacterized protein
XP_063826955.1	NP_652413.1	50266	COX7B	Cytochrome c oxidase subunit 7B
XP_063826956.1	NP_729659.1	46121	Pfdn2	Prefoldin 2
XP_063826957.1	NP_788494.1	39238	Mocs1	Molybdenum cofactor synthesis 1
XP_063826961.1	NP_477260.1	42059	Dad	Daughters against dpp
XP_063826962.1	NP_001014634.1	326128	Ada2a	transcriptional Adaptor 2a
XP_063826963.1	NP_650013.3	326130	CG31272	uncharacterized protein
XP_063826965.1	NP_650750.4	42253	Mekk1	Mekk1
XP_063826966.1	NP_477004.5	42249	ChAT	Choline acetyltransferase
XP_063826967.1	NP_650299.1	41665	CG10841	uncharacterized protein
XP_063826969.1	NP_524907.2	47998	rin	rasputin
XP_063826970.1	NP_524654.2	43912	SF1	Splicing factor 1
XP_063826972.1	NP_524420.1	42453	Cdk2	Cyclin-dependent kinase 2
XP_063826983.1	NP_649569.1	40696	MED27	Mediator complex subunit 27
XP_063826990.1	NP_651054.1	42648	CG5376	uncharacterized protein
XP_063826992.1	NP_524901.2	47874	Zw10	Zeste-white 10
XP_063826998.1	NP_572742.1	32124	prtp	pretaporter
XP_063826999.1	NP_651213.1	42857	CG18428	uncharacterized protein
XP_063827000.1	NP_649159.1	40176	Pfdn6	Prefoldin 6
XP_063827002.1	NP_524103.2	39768	SsRbeta	Signal sequence receptor beta
XP_063827003.1	NP_524476.1	42870	mRpS24	mitochondrial ribosomal protein S24
XP_063827006.1	NP_733421.1	59247	Zwilch	zwilch
XP_063827012.1	NP_572748.2	32131	Karl	karl
XP_063827013.1	NP_524439.1	42563	Polr1H	RNA polymerase I subunit H
XP_063827019.1	NP_788657.1	326253	CG33098	uncharacterized protein
XP_063827021.1	NP_001027071.1	3772641	Shawn	shawn
XP_063827028.1	NP_650561.1	42014	CG14903	uncharacterized protein
XP_063827029.1	NP_650729.1	42230	CG7694	uncharacterized protein
XP_063827036.1	NP_651191.1	42825	Ndc1	Nuclear division cycle 1
XP_063827039.1	NP_523881.1	38122	LysX	Lysozyme X
XP_063827042.1	NP_524400.2	42284	P5cr	Pyrroline 5-carboyxlate reductase
XP_063827043.1	NP_648094.1	38799	MED4	Mediator complex subunit 4
XP_063827047.1	NP_524455.1	42711	Or94a	Odorant receptor 94a
XP_063827049.1	NP_610037.1	35316	CG2493	uncharacterized protein
XP_063827051.1	NP_650734.2	42235	CG14301	uncharacterized protein
XP_063827056.1	NP_477201.1	40832	Dfd	Deformed
XP_063827060.1	NP_651053.1	42647	Pfdn5	Prefoldin 5
XP_063827069.1	NP_651752.1	43549	eIF2Balpha	eukaryotic translation initiation factor 2B subunit alpha
XP_063827075.1	NP_524381.1	42015	Scp2	Sarcoplasmic calcium-binding protein 2
XP_063827079.1	NP_650285.1	41648	CCHa2	CCHamide-2
XP_063827081.1	NP_001097964.1	43461	CG14507	uncharacterized protein
XP_063827087.1	NP_001189223.1	10178870	CG42727	uncharacterized protein
XP_063827088.1	NP_650581.1	42046	EMC2A	ER membrane protein complex subunit 2A
